puzone,dozone,hr,speed_mean,speed_stddev
4,48,5,0.006557433,0.0016952998791993326
4,48,6,0.005918064,0.0009338337730925
4,48,7,0.004739086,0.0009814577274225
4,48,8,0.003788648,0.0010902325418968
4,48,9,0.00322178,0.0009274410698322
4,48,10,0.003208465,0.0008717060718972
4,48,11,0.00350462,0.0009793341042332
4,48,12,0.004133004,0.0013695117328677
4,48,13,0.003370493,0.0011258232797113508
4,48,14,0.003881406,0.0009275518761169
4,48,15,0.003241997,0.0007793403968581328
4,48,16,0.003253407,0.0007865848069825774
4,48,17,0.003518434,0.0008435449095705503
4,48,18,0.003481536,0.0008022176743550209
4,48,19,0.004120945,0.0010513707041713
4,48,20,0.004425641,0.0009127057098554
4,48,21,0.004426998,0.0010112165840081
4,48,22,0.004574069,0.0008741569391758
4,48,23,0.004918056,0.0010196125128895
4,50,0,0.005631166,0.0009275785123880797
4,50,1,0.006341089,0.0009905879372736235
4,50,2,0.006951821,0.0010836064556176
4,50,3,0.006990728,0.0010649041207104
4,50,4,0.007366555,0.0010319614449902622
4,50,5,0.007308002,0.0011634593665525
4,50,6,0.006560077,0.001026477937220872
4,50,7,0.004879502,0.0012513105329955
4,50,8,0.004005401,0.0008409767374593569
4,50,9,0.003808674,0.0008338034611096742
4,50,10,0.00411932,0.0012189226274026
4,50,11,0.003395083,0.0007760746948493995
4,50,12,0.00392937,0.0013140485109257
4,50,13,0.004042391,0.0013446768735579
4,50,14,0.003238123,0.0007600552594783074
4,50,15,0.004352419,0.0010488848011133
4,50,16,0.003544721,0.0008570165625118802
4,50,17,0.003765456,0.0010308014882944
4,50,18,0.004107913,0.0010338552776522
4,50,19,0.004471187,0.0012481276511889
4,50,20,0.004542149,0.0008621218005478
4,50,21,0.004697532,0.0009278009160048
4,50,22,0.004647625,0.0010127705892233
4,50,23,0.005224219,0.0009695702422347656
4,68,0,0.005202322,0.0008569383501967052
4,68,1,0.005525318,0.0009810662875108
4,68,2,0.005504997,0.0010386023907161
4,68,3,0.005819503,0.0011133923931739
4,68,4,0.006483941,0.0009083183555395441
4,68,5,0.006150386,0.001389500415583
4,68,6,0.005659076,0.0008854951945009399
4,68,7,0.004553795,0.0009756251785635
4,68,8,0.003758035,0.0007890396026660189
4,68,9,0.003470117,0.0007596858027375195
4,68,10,0.003346552,0.0007587666189167
4,68,11,0.003508087,0.0009006762151766
4,68,12,0.003314558,0.0007874972057402
4,68,13,0.003369526,0.0007603903917902299
4,68,14,0.003263555,0.0007703666501956
4,68,15,0.003456407,0.0008308822010270918
4,68,16,0.003596247,0.0008694741396808555
4,68,17,0.003404372,0.0008161985334624761
4,68,18,0.003433922,0.0007912464270817656
4,68,19,0.003559122,0.0007626802601204271
4,68,20,0.003936594,0.000819785846662
4,68,21,0.004031208,0.0007732708869905
4,68,22,0.0043117,0.0008418331603187
4,68,23,0.004425327,0.0008213027385257103
